2000 :  tensor(1.7069)
4000 :  tensor(1.9948)
6000 :  tensor(1.9116)
8000 :  tensor(1.8675)
10000 :  tensor(1.5546)
12000 :  tensor(1.3671)
14000 :  tensor(1.3363)
16000 :  tensor(1.1160)
18000 :  tensor(1.0393)
20000 :  tensor(0.8467)
22000 :  tensor(0.8498)
24000 :  tensor(0.7795)
26000 :  tensor(0.7729)
28000 :  tensor(0.8043)
30000 :  tensor(0.5835)
32000 :  tensor(0.5135)
34000 :  tensor(0.5158)
36000 :  tensor(0.5192)
38000 :  tensor(0.5551)
40000 :  tensor(0.4806)
42000 :  tensor(0.4397)
44000 :  tensor(0.3808)
46000 :  tensor(0.3736)
48000 :  tensor(0.3962)
50000 :  tensor(0.3335)
52000 :  tensor(0.4073)
54000 :  tensor(0.2970)
56000 :  tensor(0.3502)
Train: new_F: 0.9318718029021817 best_F: -1.0 
Dev: new_F: 0.8445587259455872 best_F: -1.0 
Saving Model to  ./models/self-trained-model-3layer
Test: new_F: 0.7728101397690772 best_F: -1.0 
58000 :  tensor(0.2815)
60000 :  tensor(0.2362)
62000 :  tensor(0.3178)
64000 :  tensor(0.2511)
66000 :  tensor(0.2506)
68000 :  tensor(0.2479)
70000 :  tensor(0.2402)
72000 :  tensor(0.1644)
74000 :  tensor(0.2341)
76000 :  tensor(0.2682)
78000 :  tensor(0.2221)
80000 :  tensor(0.2063)
82000 :  tensor(0.2303)
84000 :  tensor(0.2004)
86000 :  tensor(0.1653)
88000 :  tensor(0.1702)
90000 :  tensor(0.1575)
92000 :  tensor(0.1830)
94000 :  tensor(0.2177)
96000 :  tensor(0.1897)
98000 :  tensor(0.1934)
100000 :  tensor(0.1418)
102000 :  tensor(0.1408)
104000 :  tensor(0.1484)
106000 :  tensor(0.1757)
108000 :  tensor(0.1588)
110000 :  tensor(0.1422)
112000 :  tensor(0.1499)
Train: new_F: 0.9511201629327902 best_F: 0.9318718029021817 
Dev: new_F: 0.8381857451403888 best_F: 0.8445587259455872 
Test: new_F: 0.737513873473918 best_F: 0.7728101397690772 
114000 :  tensor(0.1167)
116000 :  tensor(0.1320)
118000 :  tensor(0.1358)
120000 :  tensor(0.1027)
122000 :  tensor(0.1210)
124000 :  tensor(0.0936)
126000 :  tensor(0.1396)
128000 :  tensor(0.0801)
130000 :  tensor(0.0961)
132000 :  tensor(0.1243)
134000 :  tensor(0.0930)
136000 :  tensor(0.1133)
138000 :  tensor(0.1003)
140000 :  tensor(0.1199)
142000 :  tensor(0.0753)
144000 :  tensor(0.1151)
146000 :  tensor(0.0861)
148000 :  tensor(0.0952)
150000 :  tensor(0.0562)
152000 :  tensor(0.1196)
154000 :  tensor(0.0768)
156000 :  tensor(0.0527)
158000 :  tensor(0.0829)
160000 :  tensor(0.0621)
162000 :  tensor(0.0619)
164000 :  tensor(0.0840)
166000 :  tensor(0.0748)
168000 :  tensor(0.0873)
Train: new_F: 0.9752171150180047 best_F: 0.9511201629327902 
Dev: new_F: 0.8708190124905693 best_F: 0.8445587259455872 
Saving Model to  ./models/self-trained-model-3layer
Test: new_F: 0.8131829397250616 best_F: 0.7728101397690772 
170000 :  tensor(0.0686)
172000 :  tensor(0.0734)
174000 :  tensor(0.0593)
176000 :  tensor(0.0631)
178000 :  tensor(0.0707)
180000 :  tensor(0.0667)
182000 :  tensor(0.0640)
184000 :  tensor(0.0652)
186000 :  tensor(0.0396)
188000 :  tensor(0.0627)
190000 :  tensor(0.0444)
192000 :  tensor(0.0685)
194000 :  tensor(0.0654)
196000 :  tensor(0.0641)
198000 :  tensor(0.0476)
200000 :  tensor(0.0387)
202000 :  tensor(0.0379)
204000 :  tensor(0.0511)
206000 :  tensor(0.0538)
208000 :  tensor(0.0519)
210000 :  tensor(0.0591)
212000 :  tensor(0.0385)
214000 :  tensor(0.0363)
216000 :  tensor(0.0345)
218000 :  tensor(0.0359)
220000 :  tensor(0.0375)
222000 :  tensor(0.0405)
224000 :  tensor(0.0460)
Train: new_F: 0.9872673849167483 best_F: 0.9752171150180047 
Dev: new_F: 0.8821716047268369 best_F: 0.8708190124905693 
Saving Model to  ./models/self-trained-model-3layer
Test: new_F: 0.8172376093294461 best_F: 0.8131829397250616 
226000 :  tensor(0.0294)
228000 :  tensor(0.0187)
230000 :  tensor(0.0367)
232000 :  tensor(0.0460)
234000 :  tensor(0.0432)
236000 :  tensor(0.0260)
238000 :  tensor(0.0338)
240000 :  tensor(0.0300)
242000 :  tensor(0.0330)
244000 :  tensor(0.0416)
246000 :  tensor(0.0298)
248000 :  tensor(0.0330)
250000 :  tensor(0.0339)
252000 :  tensor(0.0307)
254000 :  tensor(0.0187)
256000 :  tensor(0.0237)
258000 :  tensor(0.0217)
260000 :  tensor(0.0292)
262000 :  tensor(0.0332)
264000 :  tensor(0.0244)
266000 :  tensor(0.0252)
268000 :  tensor(0.0266)
270000 :  tensor(0.0206)
272000 :  tensor(0.0280)
274000 :  tensor(0.0254)
276000 :  tensor(0.0209)
278000 :  tensor(0.0259)
280000 :  tensor(0.0267)
282000 :  tensor(0.0198)
284000 :  tensor(0.0174)
286000 :  tensor(0.0137)
288000 :  tensor(0.0154)
290000 :  tensor(0.0150)
292000 :  tensor(0.0153)
294000 :  tensor(0.0302)
Train: new_F: 0.9939013988399863 best_F: 0.9872673849167483 
Dev: new_F: 0.8920640385608539 best_F: 0.8821716047268369 
Saving Model to  ./models/self-trained-model-3layer
Test: new_F: 0.8330433189852551 best_F: 0.8172376093294461 
296000 :  tensor(0.0286)
298000 :  tensor(0.0147)
300000 :  tensor(0.0101)
302000 :  tensor(0.0295)
304000 :  tensor(0.0263)
306000 :  tensor(0.0196)
308000 :  tensor(0.0121)
Train: new_F: 0.9928766422112267 best_F: 0.9939013988399863 
Dev: new_F: 0.8767427936019161 best_F: 0.8920640385608539 
Test: new_F: 0.8076155938349955 best_F: 0.8330433189852551 
310000 :  tensor(0.0084)
312000 :  tensor(0.0111)
314000 :  tensor(0.0269)
316000 :  tensor(0.0102)
318000 :  tensor(0.0123)
320000 :  tensor(0.0194)
322000 :  tensor(0.0270)
Train: new_F: 0.9943760385156151 best_F: 0.9939013988399863 
Dev: new_F: 0.8809523809523809 best_F: 0.8920640385608539 
Test: new_F: 0.8076923076923077 best_F: 0.8330433189852551 
324000 :  tensor(0.0108)
326000 :  tensor(0.0106)
328000 :  tensor(0.0121)
330000 :  tensor(0.0186)
332000 :  tensor(0.0168)
334000 :  tensor(0.0137)
336000 :  tensor(0.0141)
Train: new_F: 0.9956300228091491 best_F: 0.9943760385156151 
Dev: new_F: 0.877370634171458 best_F: 0.8920640385608539 
Test: new_F: 0.8046981698989347 best_F: 0.8330433189852551 
