2000 :  tensor(0.6631)
4000 :  tensor(0.5997)
6000 :  tensor(0.6126)
8000 :  tensor(0.6114)
10000 :  tensor(0.6361)
12000 :  tensor(0.5971)
14000 :  tensor(0.5644)
16000 :  tensor(0.5391)
18000 :  tensor(0.5676)
20000 :  tensor(0.5148)
22000 :  tensor(0.4883)
24000 :  tensor(0.5239)
26000 :  tensor(0.4372)
28000 :  tensor(0.5127)
30000 :  tensor(0.4562)
32000 :  tensor(0.3789)
34000 :  tensor(0.4071)
36000 :  tensor(0.4104)
38000 :  tensor(0.3832)
40000 :  tensor(0.3979)
42000 :  tensor(0.4318)
44000 :  tensor(0.3340)
46000 :  tensor(0.3256)
48000 :  tensor(0.3315)
50000 :  tensor(0.2931)
52000 :  tensor(0.2897)
54000 :  tensor(0.3423)
56000 :  tensor(0.2822)
Train: new_F: 0.9119363060008004 best_F: -1.0 
Dev: new_F: 0.8275286060302347 best_F: -1.0 
Saving Model to  ./models/self-trained-model-2layer
Test: new_F: 0.755446670749847 best_F: -1.0 
58000 :  tensor(0.3089)
60000 :  tensor(0.2481)
62000 :  tensor(0.2807)
64000 :  tensor(0.2608)
66000 :  tensor(0.2643)
68000 :  tensor(0.2412)
70000 :  tensor(0.3141)
72000 :  tensor(0.1885)
74000 :  tensor(0.1944)
76000 :  tensor(0.2643)
78000 :  tensor(0.1577)
80000 :  tensor(0.2656)
82000 :  tensor(0.1817)
84000 :  tensor(0.1929)
86000 :  tensor(0.1579)
88000 :  tensor(0.1636)
90000 :  tensor(0.1572)
92000 :  tensor(0.1763)
94000 :  tensor(0.1801)
96000 :  tensor(0.1631)
98000 :  tensor(0.2058)
100000 :  tensor(0.1248)
102000 :  tensor(0.1524)
104000 :  tensor(0.1211)
106000 :  tensor(0.1279)
108000 :  tensor(0.1621)
110000 :  tensor(0.1517)
112000 :  tensor(0.1590)
Train: new_F: 0.9654259859996586 best_F: 0.9119363060008004 
Dev: new_F: 0.8686538957134267 best_F: 0.8275286060302347 
Saving Model to  ./models/self-trained-model-2layer
Test: new_F: 0.8071336642765214 best_F: 0.755446670749847 
114000 :  tensor(0.0907)
116000 :  tensor(0.1152)
118000 :  tensor(0.1159)
120000 :  tensor(0.0922)
122000 :  tensor(0.1031)
124000 :  tensor(0.0984)
126000 :  tensor(0.1204)
