| epoch   1 |   200/14918 batches | lr 0.10 | ms/batch 28.59 | loss  9.75 | ppl 17174.13
| epoch   1 |   400/14918 batches | lr 0.10 | ms/batch 17.02 | loss  8.20 | ppl  3648.77
| epoch   1 |   600/14918 batches | lr 0.10 | ms/batch 17.43 | loss  7.75 | ppl  2332.80
| epoch   1 |   800/14918 batches | lr 0.10 | ms/batch 17.10 | loss  7.57 | ppl  1935.98
| epoch   1 |  1000/14918 batches | lr 0.10 | ms/batch 17.03 | loss  7.50 | ppl  1807.27
| epoch   1 |  1200/14918 batches | lr 0.10 | ms/batch 17.05 | loss  7.40 | ppl  1629.71
| epoch   1 |  1400/14918 batches | lr 0.10 | ms/batch 17.23 | loss  7.28 | ppl  1453.50
| epoch   1 |  1600/14918 batches | lr 0.10 | ms/batch 17.31 | loss  7.27 | ppl  1437.06
| epoch   1 |  1800/14918 batches | lr 0.10 | ms/batch 17.50 | loss  7.08 | ppl  1182.40
| epoch   1 |  2000/14918 batches | lr 0.10 | ms/batch 17.22 | loss  7.10 | ppl  1214.57
| epoch   1 |  2200/14918 batches | lr 0.10 | ms/batch 17.21 | loss  7.17 | ppl  1295.31
| epoch   1 |  2400/14918 batches | lr 0.10 | ms/batch 17.16 | loss  7.00 | ppl  1098.47
| epoch   1 |  2600/14918 batches | lr 0.10 | ms/batch 17.28 | loss  7.06 | ppl  1160.64
| epoch   1 |  2800/14918 batches | lr 0.10 | ms/batch 17.36 | loss  6.94 | ppl  1035.56
| epoch   1 |  3000/14918 batches | lr 0.10 | ms/batch 17.16 | loss  6.98 | ppl  1072.25
| epoch   1 |  3200/14918 batches | lr 0.10 | ms/batch 17.30 | loss  6.88 | ppl   969.45
| epoch   1 |  3400/14918 batches | lr 0.10 | ms/batch 17.26 | loss  7.02 | ppl  1114.62
| epoch   1 |  3600/14918 batches | lr 0.10 | ms/batch 17.38 | loss  6.89 | ppl   984.59
| epoch   1 |  3800/14918 batches | lr 0.10 | ms/batch 17.16 | loss  6.74 | ppl   844.75
| epoch   1 |  4000/14918 batches | lr 0.10 | ms/batch 17.15 | loss  6.84 | ppl   936.14
| epoch   1 |  4200/14918 batches | lr 0.10 | ms/batch 17.28 | loss  6.94 | ppl  1028.37
| epoch   1 |  4400/14918 batches | lr 0.10 | ms/batch 17.33 | loss  6.95 | ppl  1047.26
| epoch   1 |  4600/14918 batches | lr 0.10 | ms/batch 17.24 | loss  6.86 | ppl   955.25
| epoch   1 |  4800/14918 batches | lr 0.10 | ms/batch 17.08 | loss  6.90 | ppl   994.42
| epoch   1 |  5000/14918 batches | lr 0.10 | ms/batch 17.06 | loss  6.82 | ppl   913.86
| epoch   1 |  5200/14918 batches | lr 0.10 | ms/batch 17.04 | loss  6.86 | ppl   949.08
| epoch   1 |  5400/14918 batches | lr 0.10 | ms/batch 17.13 | loss  6.66 | ppl   783.35
| epoch   1 |  5600/14918 batches | lr 0.10 | ms/batch 17.11 | loss  6.83 | ppl   927.91
| epoch   1 |  5800/14918 batches | lr 0.10 | ms/batch 17.12 | loss  6.75 | ppl   851.67
| epoch   1 |  6000/14918 batches | lr 0.10 | ms/batch 17.27 | loss  6.87 | ppl   964.55
| epoch   1 |  6200/14918 batches | lr 0.10 | ms/batch 17.06 | loss  6.86 | ppl   950.37
| epoch   1 |  6400/14918 batches | lr 0.10 | ms/batch 17.10 | loss  6.80 | ppl   897.17
| epoch   1 |  6600/14918 batches | lr 0.10 | ms/batch 17.16 | loss  6.70 | ppl   808.59
| epoch   1 |  6800/14918 batches | lr 0.10 | ms/batch 17.32 | loss  6.67 | ppl   785.04
| epoch   1 |  7000/14918 batches | lr 0.10 | ms/batch 17.16 | loss  6.70 | ppl   808.62
| epoch   1 |  7200/14918 batches | lr 0.10 | ms/batch 17.15 | loss  6.65 | ppl   775.53
| epoch   1 |  7400/14918 batches | lr 0.10 | ms/batch 17.09 | loss  6.70 | ppl   813.13
| epoch   1 |  7600/14918 batches | lr 0.10 | ms/batch 17.08 | loss  6.68 | ppl   798.94
| epoch   1 |  7800/14918 batches | lr 0.10 | ms/batch 17.10 | loss  6.74 | ppl   847.29
| epoch   1 |  8000/14918 batches | lr 0.10 | ms/batch 17.09 | loss  6.71 | ppl   823.78
| epoch   1 |  8200/14918 batches | lr 0.10 | ms/batch 17.07 | loss  6.69 | ppl   807.92
| epoch   1 |  8400/14918 batches | lr 0.10 | ms/batch 17.15 | loss  6.66 | ppl   777.60
| epoch   1 |  8600/14918 batches | lr 0.10 | ms/batch 17.10 | loss  6.59 | ppl   730.10
| epoch   1 |  8800/14918 batches | lr 0.10 | ms/batch 17.14 | loss  6.56 | ppl   709.61
| epoch   1 |  9000/14918 batches | lr 0.10 | ms/batch 17.69 | loss  6.71 | ppl   824.38
| epoch   1 |  9200/14918 batches | lr 0.10 | ms/batch 17.13 | loss  6.76 | ppl   866.36
| epoch   1 |  9400/14918 batches | lr 0.10 | ms/batch 17.28 | loss  6.72 | ppl   825.63
| epoch   1 |  9600/14918 batches | lr 0.10 | ms/batch 17.10 | loss  6.58 | ppl   718.74
| epoch   1 |  9800/14918 batches | lr 0.10 | ms/batch 17.17 | loss  6.60 | ppl   732.90
| epoch   1 | 10000/14918 batches | lr 0.10 | ms/batch 17.52 | loss  6.79 | ppl   887.88
| epoch   1 | 10200/14918 batches | lr 0.10 | ms/batch 17.08 | loss  6.64 | ppl   761.97
| epoch   1 | 10400/14918 batches | lr 0.10 | ms/batch 17.45 | loss  6.59 | ppl   730.53
| epoch   1 | 10600/14918 batches | lr 0.10 | ms/batch 17.11 | loss  6.55 | ppl   696.67
| epoch   1 | 10800/14918 batches | lr 0.10 | ms/batch 17.43 | loss  6.49 | ppl   660.21
| epoch   1 | 11000/14918 batches | lr 0.10 | ms/batch 17.38 | loss  6.56 | ppl   706.73
| epoch   1 | 11200/14918 batches | lr 0.10 | ms/batch 17.68 | loss  6.52 | ppl   677.25
| epoch   1 | 11400/14918 batches | lr 0.10 | ms/batch 17.15 | loss  6.46 | ppl   640.45
| epoch   1 | 11600/14918 batches | lr 0.10 | ms/batch 17.40 | loss  6.50 | ppl   667.39
| epoch   1 | 11800/14918 batches | lr 0.10 | ms/batch 17.16 | loss  6.58 | ppl   717.27
| epoch   1 | 12000/14918 batches | lr 0.10 | ms/batch 17.23 | loss  6.53 | ppl   688.71
| epoch   1 | 12200/14918 batches | lr 0.10 | ms/batch 17.49 | loss  6.61 | ppl   739.03
| epoch   1 | 12400/14918 batches | lr 0.10 | ms/batch 17.49 | loss  6.52 | ppl   677.74
| epoch   1 | 12600/14918 batches | lr 0.10 | ms/batch 17.44 | loss  6.51 | ppl   668.81
| epoch   1 | 12800/14918 batches | lr 0.10 | ms/batch 17.09 | loss  6.54 | ppl   689.12
| epoch   1 | 13000/14918 batches | lr 0.10 | ms/batch 17.35 | loss  6.49 | ppl   658.56
| epoch   1 | 13200/14918 batches | lr 0.10 | ms/batch 17.07 | loss  6.42 | ppl   613.36
| epoch   1 | 13400/14918 batches | lr 0.10 | ms/batch 17.10 | loss  6.45 | ppl   631.50
