| epoch   1 |   200/ 9945 batches | lr 0.10 | ms/batch 28.46 | loss  9.83 | ppl 18572.41
| epoch   1 |   400/ 9945 batches | lr 0.10 | ms/batch 17.63 | loss  8.14 | ppl  3421.11
| epoch   1 |   600/ 9945 batches | lr 0.10 | ms/batch 17.73 | loss  7.84 | ppl  2548.29
| epoch   1 |   800/ 9945 batches | lr 0.10 | ms/batch 18.49 | loss  7.49 | ppl  1795.04
| epoch   1 |  1000/ 9945 batches | lr 0.10 | ms/batch 18.63 | loss  7.52 | ppl  1851.87
| epoch   1 |  1200/ 9945 batches | lr 0.10 | ms/batch 18.90 | loss  7.21 | ppl  1358.51
| epoch   1 |  1400/ 9945 batches | lr 0.10 | ms/batch 18.78 | loss  7.26 | ppl  1425.31
| epoch   1 |  1600/ 9945 batches | lr 0.10 | ms/batch 19.51 | loss  7.16 | ppl  1288.81
| epoch   1 |  1800/ 9945 batches | lr 0.10 | ms/batch 19.29 | loss  7.14 | ppl  1264.91
| epoch   1 |  2000/ 9945 batches | lr 0.10 | ms/batch 19.28 | loss  7.07 | ppl  1170.75
| epoch   1 |  2200/ 9945 batches | lr 0.10 | ms/batch 19.29 | loss  7.04 | ppl  1136.98
| epoch   1 |  2400/ 9945 batches | lr 0.10 | ms/batch 19.45 | loss  7.05 | ppl  1153.41
| epoch   1 |  2600/ 9945 batches | lr 0.10 | ms/batch 19.69 | loss  7.04 | ppl  1147.01
| epoch   1 |  2800/ 9945 batches | lr 0.10 | ms/batch 19.47 | loss  6.97 | ppl  1062.05
| epoch   1 |  3000/ 9945 batches | lr 0.10 | ms/batch 19.32 | loss  7.02 | ppl  1121.82
| epoch   1 |  3200/ 9945 batches | lr 0.10 | ms/batch 19.32 | loss  6.91 | ppl  1002.44
| epoch   1 |  3400/ 9945 batches | lr 0.10 | ms/batch 19.34 | loss  6.99 | ppl  1081.20
| epoch   1 |  3600/ 9945 batches | lr 0.10 | ms/batch 19.55 | loss  6.88 | ppl   973.42
| epoch   1 |  3800/ 9945 batches | lr 0.10 | ms/batch 19.29 | loss  6.91 | ppl  1005.95
| epoch   1 |  4000/ 9945 batches | lr 0.10 | ms/batch 19.27 | loss  6.79 | ppl   888.94
| epoch   1 |  4200/ 9945 batches | lr 0.10 | ms/batch 19.31 | loss  6.96 | ppl  1050.92
| epoch   1 |  4400/ 9945 batches | lr 0.10 | ms/batch 19.34 | loss  6.87 | ppl   962.30
| epoch   1 |  4600/ 9945 batches | lr 0.10 | ms/batch 19.33 | loss  6.84 | ppl   930.51
| epoch   1 |  4800/ 9945 batches | lr 0.10 | ms/batch 19.63 | loss  6.79 | ppl   889.58
| epoch   1 |  5000/ 9945 batches | lr 0.10 | ms/batch 19.41 | loss  6.80 | ppl   901.65
| epoch   1 |  5200/ 9945 batches | lr 0.10 | ms/batch 19.42 | loss  6.79 | ppl   891.19
| epoch   1 |  5400/ 9945 batches | lr 0.10 | ms/batch 19.65 | loss  6.83 | ppl   924.13
| epoch   1 |  5600/ 9945 batches | lr 0.10 | ms/batch 18.72 | loss  6.73 | ppl   838.84
| epoch   1 |  5800/ 9945 batches | lr 0.10 | ms/batch 17.59 | loss  6.73 | ppl   840.93
| epoch   1 |  6000/ 9945 batches | lr 0.10 | ms/batch 17.51 | loss  6.73 | ppl   838.40
| epoch   1 |  6200/ 9945 batches | lr 0.10 | ms/batch 17.67 | loss  6.68 | ppl   800.12
| epoch   1 |  6400/ 9945 batches | lr 0.10 | ms/batch 18.78 | loss  6.77 | ppl   872.78
| epoch   1 |  6600/ 9945 batches | lr 0.10 | ms/batch 17.60 | loss  6.70 | ppl   809.17
| epoch   1 |  6800/ 9945 batches | lr 0.10 | ms/batch 17.48 | loss  6.68 | ppl   799.70
| epoch   1 |  7000/ 9945 batches | lr 0.10 | ms/batch 17.79 | loss  6.78 | ppl   878.83
| epoch   1 |  7200/ 9945 batches | lr 0.10 | ms/batch 17.21 | loss  6.53 | ppl   684.11
| epoch   1 |  7400/ 9945 batches | lr 0.10 | ms/batch 17.24 | loss  6.67 | ppl   785.54
| epoch   1 |  7600/ 9945 batches | lr 0.10 | ms/batch 17.59 | loss  6.64 | ppl   767.18
| epoch   1 |  7800/ 9945 batches | lr 0.10 | ms/batch 17.58 | loss  6.63 | ppl   760.53
| epoch   1 |  8000/ 9945 batches | lr 0.10 | ms/batch 17.85 | loss  6.63 | ppl   758.07
| epoch   1 |  8200/ 9945 batches | lr 0.10 | ms/batch 17.53 | loss  6.64 | ppl   764.08
| epoch   1 |  8400/ 9945 batches | lr 0.10 | ms/batch 17.49 | loss  6.63 | ppl   756.72
| epoch   1 |  8600/ 9945 batches | lr 0.10 | ms/batch 17.38 | loss  6.60 | ppl   734.55
| epoch   1 |  8800/ 9945 batches | lr 0.10 | ms/batch 17.30 | loss  6.59 | ppl   727.29
| epoch   1 |  9000/ 9945 batches | lr 0.10 | ms/batch 17.22 | loss  6.56 | ppl   704.08
| epoch   1 |  9200/ 9945 batches | lr 0.10 | ms/batch 17.23 | loss  6.67 | ppl   785.27
| epoch   1 |  9400/ 9945 batches | lr 0.10 | ms/batch 17.24 | loss  6.61 | ppl   739.55
| epoch   1 |  9600/ 9945 batches | lr 0.10 | ms/batch 17.25 | loss  6.52 | ppl   677.76
| epoch   1 |  9800/ 9945 batches | lr 0.10 | ms/batch 17.22 | loss  6.65 | ppl   771.71
Finished one epoch
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 187.07s | valid loss  6.49 | valid ppl   660.02
-----------------------------------------------------------------------------------------
| epoch   2 |   200/ 9945 batches | lr 0.10 | ms/batch 17.31 | loss  6.61 | ppl   743.79
| epoch   2 |   400/ 9945 batches | lr 0.10 | ms/batch 17.30 | loss  6.50 | ppl   666.58
| epoch   2 |   600/ 9945 batches | lr 0.10 | ms/batch 17.23 | loss  6.51 | ppl   674.71
| epoch   2 |   800/ 9945 batches | lr 0.10 | ms/batch 17.21 | loss  6.42 | ppl   616.56
| epoch   2 |  1000/ 9945 batches | lr 0.10 | ms/batch 17.23 | loss  6.55 | ppl   697.09
| epoch   2 |  1200/ 9945 batches | lr 0.10 | ms/batch 17.23 | loss  6.27 | ppl   529.84
